epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3125.03,1.00733,0.65242,1.16172,0.92749,0.85452,0.91807,0.60109,1.29998,0.67606,1.36079,0.000404375,0.000404375,0.000404375
43,3198.85,0.94727,0.62516,1.13522,0.94184,0.88938,0.92267,0.62775,1.29244,0.65224,1.35739,0.00038375,0.00038375,0.00038375
44,3265.48,0.93848,0.61761,1.12073,0.96302,0.88995,0.94001,0.6361,1.26359,0.63986,1.33482,0.000363125,0.000363125,0.000363125
45,3336.25,0.91178,0.57978,1.10119,0.94481,0.90631,0.93445,0.63541,1.30266,0.64552,1.34893,0.0003425,0.0003425,0.0003425
46,3393.13,0.92318,0.59346,1.1324,0.9262,0.90789,0.93473,0.62526,1.26232,0.64502,1.30616,0.000321875,0.000321875,0.000321875
47,3468.68,0.92663,0.63709,1.1334,0.92529,0.89248,0.9405,0.6221,1.25894,0.65106,1.29542,0.00030125,0.00030125,0.00030125
48,3533.39,0.91344,0.58935,1.1147,0.95057,0.85523,0.94049,0.63133,1.2521,0.65621,1.31711,0.000280625,0.000280625,0.000280625
49,3598.06,0.90267,0.57614,1.12649,0.96383,0.85287,0.93877,0.62774,1.24098,0.62827,1.29849,0.00026,0.00026,0.00026
50,3662.36,0.85729,0.55881,1.08074,0.92573,0.86412,0.93289,0.61619,1.26828,0.63475,1.3323,0.000239375,0.000239375,0.000239375
51,3782.94,0.79571,0.50279,1.03602,0.9562,0.87593,0.93554,0.62855,1.26456,0.6004,1.3512,0.00021875,0.00021875,0.00021875
52,3854.74,0.79948,0.46459,1.0232,0.88162,0.92953,0.94545,0.62593,1.20065,0.60474,1.31863,0.000198125,0.000198125,0.000198125
53,3928.05,0.74661,0.46935,1.01671,0.94091,0.90383,0.94523,0.6301,1.19915,0.60067,1.31097,0.0001775,0.0001775,0.0001775
54,3986.84,0.73788,0.43509,1.00072,0.94911,0.91288,0.95113,0.62871,1.21211,0.59243,1.3166,0.000156875,0.000156875,0.000156875
55,4055.4,0.73204,0.43154,0.98611,0.93669,0.92079,0.94318,0.64905,1.17571,0.57847,1.28922,0.00013625,0.00013625,0.00013625
56,4121.46,0.72002,0.40519,0.98363,0.93319,0.94356,0.95437,0.6531,1.17518,0.56586,1.29551,0.000115625,0.000115625,0.000115625
57,4188.35,0.6938,0.39788,0.97437,0.92968,0.93611,0.95531,0.6494,1.17677,0.56711,1.29236,9.5e-05,9.5e-05,9.5e-05
58,4249.81,0.71642,0.41624,0.98034,0.97938,0.90135,0.95305,0.64786,1.19766,0.57769,1.29493,7.4375e-05,7.4375e-05,7.4375e-05
59,4319.29,0.67561,0.39212,0.97306,0.97596,0.90833,0.95436,0.64244,1.20337,0.58014,1.29028,5.375e-05,5.375e-05,5.375e-05
60,4394.57,0.69827,0.38472,0.96579,0.95995,0.90833,0.95135,0.6456,1.19914,0.58066,1.29379,3.3125e-05,3.3125e-05,3.3125e-05
